Smiles,He,H2,O2,N2,CO2,CH4
*CC(*)c1ccccc1,1.301029996,1.367355921,0.376576957,-0.2069084,1.021189299,-0.081119382
*CC(*)c1ccccc1,1.042004622,1.039411299,0.176091259,-0.522878745,0.903089987,-0.444325265
*CC(*)c1ccccc1,0.842963105,0.884500296,0.120573931,-0.565998651,0.763427994,-0.330214836
*CC(*)c1ccccc1,0.885516227,1.224217296,-0.046812503,-0.834419924,0.462397998,-1.015082873
*CC(*)c1ccccc1,0.502306193,0.526252834,-0.549750892,-1.301284727,0.176091259,-1.351780891
*CC(*)c1ccccc1,0.83213371,0.743683711,-0.614221673,-1.34946438,0,-1.459184311
*CC(*)c1ccccc1,1.302933313,1.404639248,0.397940009,-0.206069675,1.047155448,-0.071782402
*CC(*)c1ccccc1,0.842706065,0.880475662,0.042929733,-0.533725678,0.943395577,-0.268145938
*CC(*)c1ccccc1,1.302933313,1.404639248,0.397940009,-0.206069675,1.047155448,-0.071782402
*CC(*)O,-1.281498311,-2.107905397,-2.709965389,-3.194049948,-2.294939934,-1.896144811
*CC(*)O,-3,-1.146366385,-3.613889274,-4.722209258,-3,-1.867696671
*CC(*)O,1.673824461,1.836722031,1.170261715,0.637081868,1.982097539,0.97567479
*CC(*)O,2.064957598,2.223445588,1.593286067,1.035698182,2.26807579,1.214231843
*CC(*)O,1.5132176,1.980315452,1.725911632,1.283301229,2.422940821,1.700617089
*CC(*)O,1.728135089,2.047714479,1.847572659,1.47371092,2.57194959,1.917227059
*CC(*)O,1.772085116,2.061008117,1.897627091,1.482817407,2.610997184,1.955152087
*CC(*)O,1.575637797,1.982797027,1.733197265,1.289545539,2.396885256,1.705499752
*CC(*)O,1.562626148,2.062996146,1.790988475,1.395416132,2.468613247,1.902654741
*CC(*)O,1.798372879,2.064071579,1.88536122,1.48025996,2.612914959,1.957170347
*CC(*)O,0.672798523,1.579872967,1,0.506974862,1.762672131,0.846246259
*CC(*)O,1.045673558,1.058758218,0.209515015,-0.544510002,0.866305776,-0.435982121
*CC(*)O,-3.15490196,-1.146366385,-5.977723605,-5.698970004,-4.508638306,-1.867696671
*CC(*)C(C)=O,0.602059991,0.810128193,-0.06643681,-0.596757138,0.835671974,-0.319558413
*CC(*)C#N,-2.271491909,-1.181978984,-3.552841969,-3.795880017,-2.744727495,-1.867696671
*CC(*)C#N,-1.106853189,-1.407785453,-2.307946635,-3.051200102,-1.9920895,-1.909813708
*CC(*)C#N,-3.097588235,-1.146366385,-3.834755674,-5.044913335,-3.222935845,-1.867696671
*CC(*)C#N,-2.777988139,-1.146366385,-3.704722333,-4.407930068,-2.920819623,-1.867696671
*CC(*)(C)C#N,-2.046212828,-1.276945916,-3.043639446,-3.799093977,-2.620875854,-1.867696671
*CC(*)OC,1.301029996,1.399051163,0.435474977,-0.156073052,1.085520703,-0.074808366
*CC(*)OC(C)=O,0.782191939,0.871599455,0.03233666,-0.575598976,0.738495649,-0.331225862
*CC(*)OC(C)=O,1.033423755,1.033195635,0.079181246,-0.698970004,0.662757832,-0.744727495
*CC(*)OC(C)=O,0.438463135,0.516081343,-0.568636236,-1.312807537,0.111772694,-1.401105167
*CC(*)OC(C)=O,0.903105219,0.725318261,-0.449449828,-1.290717233,0.102156355,-1.438738685
*CC(*)OC(=O)c1ccccc1,1.069924119,1.047349759,0.148890577,-0.589127604,0.800717078,-0.536840792
*CC(*)OC(=O)C1CCCCC1,1.121195551,1.097596592,0.125024981,-0.569883246,0.916980047,-0.516651592
*CC(*)OC(=O)c1ccc(C(C)C)cc1,1.391232678,1.559601106,0.579783597,-0.197399513,1.346352974,0.025918132
*CC(*)OC(=O)c1ccc(C)cc1,1.12520621,1.086437508,0.160579093,-0.561249143,0.828015064,-0.537630473
*C(C)=C(*)[Si](C)(C)C,3.812913357,4.209515015,4,3.826074803,4.519827994,4.204119983
*C(C)=C(*)[Si](C)(C)C,3.69611693,4.040659051,3.843855423,3.607455023,4.255272505,3.62324929
*C(C)=C(*)[Si](C)(C)C,3.548026708,3.874893824,3.602059991,3.397940009,4.109657275,3.783060326
*C(C)=C(*)[Si](C)(C)C,3.666603553,4.040479735,3.792305403,3.662757832,4.311172026,4.02049986
*C(C)=C(*)[Si](C)(C)C,3.720159303,4.1430148,3.894869657,3.741151599,4.44870632,4.161368002
*C(C)=C(*)[Si](C)(C)C,3.758465725,4.20034054,3.894869657,3.456417283,4.588758618,3.725464678
*C(C)=C(*)[Si](C)(C)C,3.491841671,3.951315673,3.574031268,3.055978797,4.329957545,3.312686125
*C(C)=C(*)[Si](C)(C)C,3.035031824,3.401649518,3.113943352,2.858420175,3.648390651,3.184964526
*C(C)=C(*)[Si](C)(C)C,3.198657087,3.626340367,3.139879086,2.567026366,3.86569606,2.6599162
*C(C)=C(*)[Si](C)(C)C,2.922301742,3.280592674,3.004321374,2.714766386,3.637086424,3.138691798
*C(C)=C(*)[Si](C)(C)C,4.250420002,4.565847819,4.857332496,4.447158031,4.645422269,4.544068044
*C(C)=C(*)[Si](C)(C)C,3.701822423,4.05916298,3.857332496,3.62324929,4.303101355,3.751002867
*C(C)=C(*)[Si](C)(C)C,3.767654225,4.186735051,3.919078092,3.69019608,4.547003888,3.99831665
*C(C)=C(*)[Si](C)(C)C,3.588684336,3.971279737,3.785329835,3.531478917,4.254781323,3.986438927
*C(C)=C(*)[Si](C)(C)C,3.613166423,3.988535216,3.799340549,3.568201724,4.252841004,3.957815995
*C(C)=C(*)[Si](C)(C)C,3.612783857,3.838849091,3.602059991,3.301029996,4.255272505,3.62324929
*C(C)=C(*)[Si](C)(C)CC,2.919078092,3.285557309,2.986771734,2.69019608,3.662757832,3.079181246
*C(C)=C(*)[Si](C)(C)CC,2.729489188,3.032642558,2.698970004,2.342422681,3.405666206,2.745918352
*C(C)=C(*)[Si](C)(C)CCC,2.176091259,2.397940009,1.84509804,1.322219295,2.361727836,1.643452676
*C(C)=C(*)[Si](C)(C)CCC,1.944687292,2.218192165,2,1.556302501,2.638614147,1.920318544
*C(C)=C(*)[Si](C)(C)CCCC,1.792391689,1.812913357,1.462397998,0.903089987,2,1.230448921
*C(C)=C(*)[Si](C)(C)CCCCCCCC,1.568201724,1.672097858,1.361727836,1.278753601,2,1.113943352
*C(C)=C(*)[Si](C)(C)C(C)C,2.832508913,3.217483944,2.662757832,2.230448921,3.342422681,2.556302501
